주소,병원분류명,병원경도,병원위도,행정구역,geometry
서울특별시 송파구 백제고분로 407 (송파동 지하 2층~7층),병원,127.10988446110888,37.507591908762606,송파구,POINT (965521.080513015 1945440.058205059)
서울특별시 송파구 백제고분로 457  (방이동),의원,127.1126776840137,37.5114880183417,송파구,POINT (965769.7294026065 1945871.2863868375)
서울특별시 송파구 거마로 61 401호 (마천동 한스어반타워),의원,127.14641637286104,37.49847375078677,송파구,POINT (968746.0290496844 1944415.7013897363)
서울특별시 송파구 마천로 295-1 메디파크빌딩 23층 (마천동),의원,127.1491984755,37.49627902390001,송파구,POINT (968991.0380283073 1944171.2913041278)
서울특별시 송파구 충민로2길 24 (장지동 리더스플라자 401호),의원,127.1272794214752,37.47762103442265,송파구,POINT (967045.3099623396 1942108.7644814192)
서울특별시 송파구 송파대로 111 205동 412415호 (문정동 파크하비오),의원,127.124913859704,37.4796683841344,송파구,POINT (966837.0590068853 1942336.7338186929)
서울특별시 송파구 충민로2길 24 (장지동),의원,127.12728398593956,37.47764625761422,송파구,POINT (967045.7246144003 1942111.5612164286)
서울특별시 송파구 송이로 123 국립경찰병원 (가락동),종합병원,127.123487935032,37.49641321356079,송파구,POINT (966718.4162611318 1944194.9593279923)
서울특별시 송파구 석촌호수로 118 잠실청호빌딩 4~5층 (잠실동),의원,127.0900237373,37.5074393256,송파구,POINT (963765.6824845063 1945430.5924096282)
서울특별시 송파구 오금로 551 208동 B02호 (거여동 e편한세상 송파 파크센트럴),의원,127.14337682273292,37.49386432833995,송파구,POINT (968475.4186395841 1943905.3312899137)
서울특별시 송파구 마천로 264 4층 (거여동 흥일빌딩),의원,127.14783888888888,37.49687222222222,송파구,POINT (968871.1037408131 1944237.5513560418)
서울특별시 송파구 중대로 80 문정프라자 3층 (문정동),의원,127.11784451376074,37.49176257607539,송파구,POINT (966217.4723994153 1943681.0132503754)
서울특별시 송파구 동남로4길 36 (문정동 FI빌딩 2층),의원,127.124584820279,37.4870676299411,송파구,POINT (966811.2402866094 1943157.7439346863)
서울특별시 송파구 오금로 95 국제빌딩 지하1층 2~8층 (방이동),의원,127.10769920017124,37.513785621381885,송파구,POINT (965330.808416207 1946128.013432428)
서울특별시 송파구 가락로 111 (석촌동),의원,127.1083420843,37.5015529959,송파구,POINT (965381.9743614207 1944770.6468993893)
서울특별시 송파구 동남로 211 3층 (가락동 영남빌딩),의원,127.13124086808912,37.496347190643135,송파구,POINT (967403.7064600842 1944184.921395399)
서울특별시 송파구 올림픽로35길 137 한국광고문화회관 3층 (신천동),의원,127.099643159822,37.5159272595028,송파구,POINT (964619.8719513644 1946368.6135005478)
서울특별시 송파구 송파대로 404-1 3층 (송파동),의원,127.1093173217,37.5033685242,송파구,POINT (965469.010557029 1944971.7094357077)
서울특별시 송파구 마천로5길 4 삼대양빌딩 4층 (오금동),의원,127.12675990102846,37.508715676511,송파구,POINT (967013.0540233625 1945558.6833239186)
서울특별시 송파구 송파대로 201 송파 테라타워2 B동 205호 (문정동),의원,127.120632436446,37.4878286680079,송파구,POINT (966462.1667912097 1943243.576480567)
서울특별시 송파구 올림픽로 424 국민체력센터의원 (방이동),의원,127.1284651599177,37.517102177410784,송파구,POINT (967167.4393028808 1946488.5146078719)
서울특별시 송파구 법원로 114 C동 2층 201~202호 (문정동 엠스테이트),의원,127.11986239995856,37.48583141057807,송파구,POINT (966393.1970749352 1943022.269281651)
서울특별시 송파구 마천로41길 20 (마천동 2층),의원,127.1496070504,37.497017332,송파구,POINT (969027.4588858224 1944253.0669851538)
서울특별시 송파구 송파대로 111 (문정동 파크하비오 하비오타워 법조대로 205동 304호),의원,127.12265059395898,37.48160108888428,송파구,POINT (966637.8127273071 1942551.9532223793)
서울특별시 송파구 송파대로 374 메디포레 2층 (송파동),의원,127.1112188124,37.5013304772,송파구,POINT (965636.1428655912 1944744.9056629587)
서울특별시 송파구 위례광장로 230 제상가3 제C동 2층 203205206호 (장지동 위례2차아이파크),의원,127.143758763103,37.4786171055932,송파구,POINT (968502.7805906007 1942213.6316562383)
서울특별시 송파구 송파대로 438 녹십초빌딩 23층 (송파동),의원,127.107019269988,37.5059260588638,송파구,POINT (965267.0783522836 1945256.296744854)
서울특별시 송파구 올림픽로 212 207호208호 (잠실동 갤러리아팰리스),의원,127.09355372867176,37.51149365431481,송파구,POINT (964079.6126895624 1945879.0406233186)
서울특별시 송파구 오금로 506 (거여동 일동빌딩 5층),의원,127.14482449170002,37.49280747715756,송파구,POINT (968602.946915871 1943787.5971246043)
서울특별시 송파구 오금로32길 35 2층 201호 (송파동),의원,127.11878140380703,37.50357202416206,송파구,POINT (966305.6003093341 1944990.8558730874)
서울특별시 송파구 충민로2길 24 (장지동 리더스프라자 2층),의원,127.12717649763088,37.47759446104806,송파구,POINT (967036.1980788995 1942105.852380898)
서울특별시 송파구 송파대로 145 문정 오벨리스크 312~314호 (문정동),의원,127.1230458545,37.4833634876,송파구,POINT (966673.5414033924 1942747.3389413757)
서울특별시 송파구 마천로 41 (방이동 5층),의원,127.12551865058398,37.50907199131732,송파구,POINT (966903.509268322 1945598.649964527)
