자치구,동,인구,면적,밀도
종로구,소계,153789,23.91,6431
중구,소계,131787,9.96,13231
용산구,소계,237285,21.87,10852
성동구,소계,292672,16.86,17359
광진구,소계,352627,17.06,20666
동대문구,소계,352006,14.22,24762
중랑구,소계,391885,18.5,21188
성북구,소계,440142,24.58,17909
강북구,소계,302563,23.6,12820
도봉구,소계,319373,20.65,15465
노원구,소계,514946,35.44,14530
은평구,소계,477173,29.71,16061
서대문구,소계,315659,17.63,17908
마포구,소계,378686,23.85,15878
양천구,소계,450487,17.41,25882
강서구,소계,579768,41.45,13986
구로구,소계,421163,20.12,20933
금천구,소계,244891,13.02,18808
영등포구,소계,400908,24.55,16331
동작구,소계,394364,16.36,24113
관악구,소계,499449,29.57,16891
서초구,소계,416167,46.98,8858
강남구,소계,537800,39.5,13616
송파구,소계,663965,33.88,19599
강동구,소계,466472,24.59,18970
